doctrine	definition	story
Eggshell skull	The eggshell skull rule (also thin skull rule, papier-mâché-plaintiff rule, or talem qualem rule) is a well-established legal doctrine in common law, used in some tort law systems, with a similar doctrine applicable to criminal law.  The rule states that, in a tort case, the unexpected frailty of the injured person is not a valid defense to the seriousness of any injury caused to them.	"Meet Emma, a 25-year-old professional skydiver who has made over 500 jumps without incident. One day, while participating in a group jump, her instructor, Alex, mistakenly opens her parachute too late, causing her to crash-land and suffer severe injuries, including a broken back and permanent paralysis from the waist down.

At trial, Alex's lawyer, arguing in his defense, claims that Emma's injuries were exacerbated by her unusually fragile physical condition, due to a congenital bone disorder that made her bones unusually susceptible to injury.

However, the judge delivers a verdict that leaves Alex's lawyer stunned: since Alex's reckless actions caused the injuries, the fact that Emma's bones were more fragile than average ""was simply the straw that broke the camel's back."" In other words, the court holds that Alex's actions are still entirely responsible for the severity of Emma's injuries, regardless of her pre-existing condition.

This ruling illustrates the eggshell skull doctrine, where the unexpected frailty of the injured person does not reduce the defendant's liability. In this case, Alex's actions were still reckless and negligent, and the court holds him accountable for the full extent of Emma's injuries, including the severity caused by her fragile bones."
Emergency	"An emergency is an urgent, unexpected, and usually dangerous situation that poses an immediate risk to health, life, property, or environment and requires immediate action.  Most emergencies require urgent intervention to prevent a worsening of the situation, although in some situations, mitigation may not be possible and agencies may only be able to offer palliative care for the aftermath.
While some emergencies are self-evident (such as a natural disaster that threatens many lives), many smaller incidents require that an observer (or affected party) decide whether it qualifies as an emergency.
The precise definition of an emergency, the agencies involved and the procedures used, vary by jurisdiction, and this is usually set by the government, whose agencies (emergency services) are responsible for emergency planning and management."	"It was a typical Wednesday afternoon when Emma, a busy working mom, received a frantic call from her neighbor, Mrs. Johnson, who lived alone in the apartment above them. Mrs. Johnson was in distress, saying she had just discovered a massive pipe burst in her kitchen, flooding the entire space. Water gushed out, threatening to spread to the downstairs apartments and damage their homes.

Emma immediately sprang into action, recognizing the urgency of the situation. She quickly grabbed some towels and rushed upstairs to Mrs. Johnson's apartment. As they assessed the damage, it became clear that the situation was critical: the water was still rising, and the neighbors' apartments could be severely impacted if not addressed promptly.

Emma called 911, explaining the situation to the operator. The dispatcher promptly dispatched the emergency responders, including the fire department, who arrived within minutes. The firefighters assessed the situation and took immediate action to shut off the water main and pump out the flooded areas.

As the situation unfolded, Emma realized that this was an emergency – an unexpected, dangerous situation that required immediate action to prevent significant harm or damage to the surrounding properties. The firefighters' swift intervention prevented catastrophic consequences, minimizing the damage to Mrs. Johnson's apartment and the neighbors' homes.

This incident highlights the concept of an emergency: a sudden, unexpected, and potentially dangerous situation that requires immediate action to mitigate harm or damage. In this case, the emergency responders' prompt response saved the day, demonstrating the importance of emergency services in situations like this."
Eminent domain	"Eminent domain, also known as land acquisition, compulsory purchase, resumption, resumption/compulsory acquisition, or expropriation, is the compulsory acquisition of private property for public use. It does not include the power to take and transfer ownership of private property from one property owner to another private property owner without a valid public purpose. This power can be legislatively delegated by the state to municipalities, government subdivisions, or even to private persons or corporations, when they are authorized to exercise the functions of public character.
The most common uses of property taken by eminent domain have been for roads, government buildings and public utilities. Many railroads were given the right of eminent domain to obtain land or easements in order to build and connect rail networks. In the mid-20th century, a new application of eminent domain was pioneered, in which the government could take the property and transfer it to a private third party for redevelopment. This was initially done only to a property that had been deemed ""blighted"" or a ""development impediment"", on the principle that such properties had a negative impact upon surrounding property owners, but was later expanded to allow the taking of any private property when the new third-party owner could develop the property in such a way as to bring in increased tax revenues to the government.
Some jurisdictions require that the taker make an offer to purchase the subject property, before resorting to the use of eminent domain. However, once the property is taken and the judgment is final, the condemnor owns it in fee simple, and may put it to uses other than those specified in the eminent domain action.
Takings may be of the subject property in its entirety (total take) or in part (part take), either quantitatively or qualitatively (either partially in fee simple or, commonly, an easement, or any other interest less than the full fee simple title)."	"The small town of Willow Creek was in dire need of a new hospital. For years, the town's residents had been faced with long commutes to receive medical attention in neighboring cities. To alleviate this problem, the town council decided to exercise its right to use eminent domain to acquire a plot of land currently owned by the Smith family.

The Smiths had inherited the land from their father, who had purchased it decades ago. They had built a small farm on the property, and it had been in their family for generations. The family was devastated by the news, as they had grown attached to the land and the memories it held.

In this scenario, the town of Willow Creek is the condemnor, exercising its right of eminent domain to acquire the Smith's land for a public use, namely the construction of a new hospital. The Smiths, as the property owners, would be required to hand over their land to the town. The town would then own the land in fee simple, allowing them to use it for the intended purpose.

In this case, the taking is a total take, where the town acquires the entire property. While the Smiths might not want to part with their land, the town's need for the hospital outweighs their private interests."
Enrolled bill rule	"The enrolled bill rule is a principle of judicial interpretation of rules of procedure in legislative bodies and rule of recognition. Under the doctrine, once a bill passes a legislative body and is signed into law, the courts assume that all rules of procedure in the enactment process were properly followed. That is, ""[i]f a legislative document is authenticated in regular form by the appropriate officials, the court treats that document as properly adopted."""	"Here's a story that illustrates the enrolled bill rule:

Sarah, a devoted advocate for veterans' rights, had spent months drafting a bill to allocate additional funding for veteran rehabilitation programs. After months of deliberation, the bill finally passed the House of Representatives and the Senate. The Governor, a strong supporter of veterans, signed the bill into law.

Weeks later, a group of disgruntled lawmakers claimed that the bill should be invalidated because they had not received proper notice of the meetings preceding the vote. They argued that without proper notice, the meetings were illegal and therefore any resulting legislation was invalid.

However, when the case reached the Supreme Court, the justices applied the enrolled bill rule. They looked at the bill and found that it had been authenticated in regular form by the Speaker of the House and the President Pro Tempore of the Senate, who were the appropriate officials responsible for certifying the bill.

The Court held that, as the bill had been properly authenticated, it was assumed that all rules of procedure had been followed. They didn't delve into the details of the meetings, ruling that the bill was valid and should be enforced.

Sarah breathed a sigh of relief, knowing that her tireless efforts to improve support for veterans would bear fruit. The enrolled bill rule had ensured that her bill became law, despite any procedural irregularities that might have occurred."
Enterprise liability	Enterprise liability is a legal doctrine under which individual entities (for example, otherwise legally unrelated corporations or people) can be held jointly liable for some action on the basis of being part of a shared enterprise. Enterprise liability is a form of secondary liability.	"Meet Sarah, a passionate environmental activist, who had been fighting to shut down a local factory that was contaminating the nearby river. The factory, owned by a corporation called GreenTech Inc., had been accused of releasing toxic chemicals into the water, harming local wildlife and putting the community's health at risk.

Sarah worked tirelessly to gather evidence and build a case against GreenTech Inc. She eventually partnered with other community members and formed an advocacy group called ""Clean River Now."" Together, they launched a successful campaign to raise awareness and gather support for their cause.

Meanwhile, a rival corporation, TechCorp, had also been secretly working with GreenTech Inc. on a project to develop a new, even more polluting technology. TechCorp was aware of GreenTech's illegal activities but chose to keep quiet, benefiting from the partnership and the lack of scrutiny.

As Sarah's advocacy group gained momentum, GreenTech Inc. was eventually forced to shut down the factory. However, the court held not only GreenTech Inc. but also TechCorp liable for the damage caused to the environment and the community. The court ruled that both companies were part of a shared enterprise, knowingly collaborating to harm the environment, and were therefore jointly liable for the consequences.

This scenario illustrates the concept of enterprise liability, where unrelated entities (GreenTech Inc. and TechCorp) are held accountable for their actions as part of a shared enterprise. The ruling demonstrates how secondary liability can be applied to organizations that are not directly responsible but have a connection to the harmful activities."
Equal authenticity rule	"The equal authenticity rule (French: règle d’égale autorité) is a rule of judicial interpretation developed by Canadian courts as a way of interpreting laws written in parallel French and English texts. The constitution of Canada requires that both versions of each bilingual law be treated as equally authoritative, which can result in problems when the English and French versions are incongruent. The equal authenticity rule is derived from section 133 of the Constitution Act, 1867, which states that ""The Acts of the Parliament of Canada and the Legislature of Quebec shall be printed and published in both those Languages."""	"Here is a short story illustrating the equal authenticity rule:

In the small town of Saint-Étienne, Quebec, the local government passed a new bylaw requiring all residents to display a specific type of recycling bin at their homes. The bylaw was written in both French and English, as required by the Canadian Charter.

To the surprise of the town's mayor, Claude Dupont, not everyone was excited about the new rule. Many residents, including Mademoiselle Jacques, a long-time resident of Saint-Étienne, felt that the English version of the bylaw, which stated that the recycling bins must be at least 3 feet tall, was more ambiguous than the French version, which required bins to be ""maximum 30 cm de hauteur"" (around 12 inches tall).

Mademoiselle Jacques decided to challenge the bylaw in court, arguing that the English version was misleading and unfair. The judge, aware of the equal authenticity rule, carefully reviewed both versions of the bylaw. Finding that the French version was clear and specific, the judge ruled that the recycling bins in Saint-Étienne must indeed be no taller than 12 inches, rejecting Mademoiselle Jacques' argument that the English version was ambiguous.

The town's residents were relieved, and the bylaw was enforced as intended.poser. The equal authenticity rule ensured that the judge treated both versions of the bylaw with equal authority, avoiding any interpretation that might prioritize one language over the other."
Equity (law)	"In the field of jurisprudence, equity is the particular body of law, developed in the English Court of Chancery, with the general purpose of providing legal remedies for cases wherein the common law is inflexible and cannot fairly resolve the disputed legal matter. Conceptually, equity was part of the historical origins of the system of common law of England, yet is a field of law separate from common law, because equity has its own unique rules and principles, and was administered by courts of equity. 
Equity exists in domestic law, both in civil law and in common law systems, as well as in international law. The tradition of equity begins in antiquity with the writings of Aristotle (epieikeia) and with Roman law (aequitas). Later, in civil law systems, equity was integrated in the legal rules, while in common law systems it became an independent body of law."	"Emily and Ryan were childhood sweethearts who had been inseparable since high school. They had always dreamed of building a life together. After college, they decided to start a business, a small bakery, where they specialized in making unique and delicious cakes.

However, due to a series of unfortunate events, their business fell on hard times. The pandemic hit, and their bakery was forced to close for several months. When they reopened, they discovered that a large corporation had opened a similar bakery across the street, copying their famous recipes and business model.

Emily and Ryan felt devastated. They had worked hard to build their reputation and customer base, and the corporation's actions were not only unfair but also a direct threat to their livelihood. They approached their lawyer, seeking legal action against the corporation.

However, their lawyer realized that the common law didn't provide a clear remedy in this situation. The corporation hadn't technically stolen their recipes or intellectual property, but had simply copied their business model. The law was inflexible, and Emily and Ryan felt they were being unfairly disadvantaged.

In this situation, equity came into play. The court of equity considered the circumstances and applied a sense of fairness and justice to the case. The court ruled in favor of Emily and Ryan, ordering the corporation to cease their unfair business practices and awarding them compensation for the loss of business.

The story illustrates how equity, as a body of law, can provide a sense of fairness and justice in situations where the common law is inflexible or inadequate. In this scenario, the court of equity intervened to correct the unfair competition and restore the balance, ensuring that Emily and Ryan's hard work and dedication were not compromised."
Erga omnes	"In legal terminology, erga omnes rights or obligations are owed toward all. Erga omnes is a Latin phrase which means ""towards all"" or ""towards everyone"". For instance, a property right is an erga omnes entitlement and therefore enforceable against anybody infringing that right.
An erga omnes right can be distinguished from a right based on contract, which is unenforceable except against the contracting party."	"In the small town of Oakdale, the local park, Greenhaven, was a beloved gathering spot for residents and visitors alike. The town's founders had originally donated the land to be used as a public park, subject to certain conditions. Over the years, a local business owner, Maria, had built a small café and event space within the park, which had become a staple in the community.

One day, a new entrepreneur, Alex, moved to Oakdale and wanted to open a competing event space and café right across from Maria's business. Alex claimed that Maria's business was infringing on her own intellectual property rights and demanded that Maria cease operations.

However, the town's local government stepped in, citing the original deed and the town's bylaws, which stated that the park was intended for public use and enjoyment. The government reminded Alex that the right to access and use the park was an erga omnes right, owed towards all members of the community, not just one individual.

The court agreed, ruling that Maria's business was not infringing on Alex's rights, but rather was exercising its own erga omnes right to operate a business in the park. The story spread throughout Oakdale, emphasizing the importance of respecting the community's rights and interests, rather than individual rights based on contract or ownership.

This scenario illustrates how erga omnes rights can trump individual claims and legal contracts, emphasizing the community's overall benefit and well-being."
Erie doctrine	"The Erie doctrine is a fundamental legal doctrine of civil procedure in the United States which mandates that a federal court called upon to resolve a dispute not directly implicating a federal question (most commonly when sitting in diversity jurisdiction, but also when applying supplemental jurisdiction to claims factually related to a federal question or in an adversary proceeding in bankruptcy) must apply state substantive law.
The doctrine follows from the Supreme Court landmark decision in Erie Railroad Co. v. Tompkins (1938). The case overturned Swift v. Tyson, which allowed federal judges sitting in a state to ignore the common law local decisions of state courts in the same state in diversity actions."	"Meet Emily, a small business owner in Texas who specializes in catering events. She had a contract with a local hotel to provide food and drinks for their conferences. However, one day, the hotel unexpectedly cancelled their agreement, citing a ""change in policy."" Emily's business was severely impacted, and she lost a significant amount of revenue.

Emily decided to take the hotel to court, claiming breach of contract and seeking damages. However, since both parties were from different states, the case fell under federal jurisdiction in a federal court. The federal judge reviewing the case had to decide which state's laws to apply.

As Emily's lawyer argued that Texas contract law should be applied, the hotel's lawyer countered that federal law should govern the case. The judge knew that this wasn't a federal question case, and Supreme Court's Erie doctrine came into play. The doctrine instructed the judge to apply Texas substantive law, as the trial would take place in a federal court sitting in diversity jurisdiction.

After applying Texas law, the judge ruled in Emily's favor, finding that the hotel had indeed breached their contract. The hotel was ordered to pay Emily $100,000 in damages. Emily was relieved to have received justice, but also grateful that the Erie doctrine ensured that state law would be applied in her case, rather than federal law."
Essential facilities doctrine	"The essential facilities doctrine (sometimes also referred to as the essential facility doctrine) is a legal doctrine which describes a particular type of claim of monopolization made under competition laws.  In general, it refers to a type of anti-competitive behavior in which a firm with market power uses a ""bottleneck"" in a market to deny competitors entry into the market.  It is closely related to a claim for refusal to deal.
The doctrine has its origins in United States law, but it has been adopted (often with some modification) into the legal systems of the United Kingdom, Australia, South Africa, and the European Union."	"The small town of Willow Creek was in a pickle. The only gasoline station in town, ""QuickFill,"" was owned by the wealthy and influential, the Smith family. The Smiths had dominated the market for years, and their pumps were the only ones in town that accepted credit cards.

Enter Jane, a young entrepreneur with a dream to open her own convenience store. She spent months saving up and finally secured a loan to open her new store, ""Jane's Grocery."" But when she went to apply for a business loan, she was denied because she couldn't provide a guarantee that she could pump gasoline for her customers.

That's when she discovered the catch - QuickFill had a monopoly on the only credit card-ready pumps in town. The Smiths had ""bottlenecked"" the market, controlling the flow of gasoline and charging exorbitant fees for each pump. As a result, Jane's Grocery was unable to compete.

Jane decided to fight back and filed a lawsuit against the Smiths, citing the essential facilities doctrine. She argued that the Smiths were using their control over the pumps to stifle competition and prevent her from entering the market. The court agreed, and an injunction was issued, forcing the Smiths to open their pumps to other businesses, including Jane's Grocery.

With her pumps now available, Jane was able to offer competitive gas prices and attract customers from all over town. The Smiths were no longer the only game in town, and the once-strangled market began to thrive."
Estoppel	"Estoppel is a judicial device whereby a court may prevent or ""estop"" a person from making assertions or from going back on their word. The person barred from doing so is said to be ""estopped"". Estoppel may prevent someone from bringing a particular claim. In common law legal systems, the legal doctrine of estoppel is based in both common law and equity. 
Estoppel is also a concept in international law.

"	"Meet Emma, a freelance writer, who had been working with a publishing company, Blue Ocean Books, for three years. She had built a strong reputation with the company and had become a go-to author for their readers. In 2020, Emma and Blue Ocean Books had a conversation about her next book project. Emma mentioned that she was open to a one-book deal, and Blue Ocean Books agreed to offer her a two-book deal, citing her popularity and the company's success with her previous works.

The contract was never signed, but Emma and Blue Ocean Books worked together on the new book project, knowing that the details would be finalized later. Fast-forward to 2022, when Emma received another offer from Green Ocean Publishing, a rival company. Emma decided to sign with Green Ocean and published her new book with them. When Blue Ocean Books found out, they claimed that Emma was bound by their original agreement and that she was breaching their contract.

However, the court ruled that Emma was not liable to fulfill the two-book deal with Blue Ocean Books. This is because Blue Ocean Books never followed through on their promise to sign the contract, and Emma reasonably acted on the understanding that the deal was off. The court used the doctrine of estoppel to prevent Blue Ocean Books from going back on their word. They were estopped from claiming that Emma was bound by the original agreement. This allowed Emma to pursue her new publishing deal with Green Ocean Publishing without any legal repercussions."
Evasion (law)	"Evasion in law, is a fundamental public policy doctrine, which exists also in the conflict of laws.

"	"Meet Emma, a travel enthusiast who loves exploring new places. She books a ticket to France for a three-week trip, excited to immerse herself in the culture and language. As she packs her bags, she rummages through her finances and realizes she might not have enough funds to cover the entire trip. Undeterred, Emma applies for a cash advance on her credit card, knowing it will put her into the red. She reassures herself she'll pay it off as soon as she returns from France.

Upon arriving in France, Emma decides to spend a few extra days, enjoying the scenic countryside and wineries. She accumulates a significant expense, and her initial plan to pay off the credit card advance in one shot seems unfeasible. Emma starts making multiple, small cash withdrawals from her credit card, claiming she's just covering small expenses, like buying souvenirs or meals. In reality, she's using the card for larger, discretionary purchases, such as a luxury hotel stay or a spa treatment.

Emma's evasion becomes apparent when the credit card company files a request with the French courts, seeking to recover the outstanding balance. Emma's excuses and justifications fall flat, as the court finds her intentional circumvention of the credit card's terms and intended use. The court rules in favor of the credit card company, ordering Emma to pay the entire balance, plus interest and penalties. Emma's attempt to evade responsibility for her overspending has failed, and she's left dealing with the financial consequences of her actions.

This story illustrates the legal concept of evasion, where an individual intentionally manipulates or omits information to avoid legal obligations or liabilities. Emma's actions were calculated efforts to sidestep her financial responsibilities, ultimately leading to her downfall."
Everything which is not forbidden is allowed	"""Everything which is not forbidden is allowed"" is a legal maxim. It is the concept that any action can be taken unless there is a law against it. It is also known in some situations as the ""general power of competence"" whereby the body or person being regulated is acknowledged to have competent judgement of their scope of action.
The opposite principle ""everything which is not allowed is forbidden"" states that an action can only be taken if it is specifically allowed.
A senior English judge, Sir John Laws, stated the principles as: ""For the individual citizen, everything which is not forbidden is allowed; but for public bodies, and notably government, everything which is not allowed is forbidden."" Legal philosopher Ota Weinberger put it this way: ""In a closed system in which all obligations are stated explicitly the following inference rules are valid: (XI) Everything which is not forbidden is allowed""."	"Meet Emma, a passionate artist living in a bustling city. She loves to express herself through street art, painting vibrant murals on abandoned walls. However, one day, she receives a notice from the city council claiming that her art is causing a disturbance to the community and is threatening to fine her if she doesn't stop.

Emma is confused. She had always thought that as long as she wasn't breaking any specific laws, she was free to create. But the council seems to be saying that just because she isn't explicitly allowed to do so, her art is therefore forbidden.

A lawyer friend explains the concept of ""everything which is not forbidden is allowed"" to Emma. She realizes that the council doesn't have a specific law prohibiting street art, so they can't legally stop her from doing it. The lawyer advises Emma to continue creating, but to be mindful of any noise or obstruction complaints from local residents.

Emma decides to take the opportunity to engage with her community, talking to nearby business owners and residents about her art and explaining its benefits to the neighborhood. She also works with the council to develop a policy that allows street art in designated areas, while still respecting the community's concerns.

Through this experience, Emma has learned that as a citizen, everything which is not forbidden is indeed allowed. As long as she isn't causing harm or breaking any laws, she is free to express herself through her art."
Ex turpi causa non oritur actio	"Ex turpi causa non oritur actio (Latin ""action does not arise from a dishonourable cause"") is a legal doctrine which states that a plaintiff will be unable to pursue legal relief and damages if it arises in connection with their own tortious act. The corresponding Ex turpe causa non oritur damnum, ""From a dishonourable cause, no damage arises"" is a similar construction.  Particularly relevant in the law of contract, tort and trusts, ex turpi causa is also known as the illegality defence, since a defendant may plead that even though, for instance, he broke a contract, conducted himself negligently or broke an equitable duty, nevertheless a claimant by reason of his own illegality cannot sue. The UK Supreme Court provided a thorough reconsideration of the doctrine in 2016 in Patel v Mirza."	"The sun was setting over the streets of London as Alex, a young and ambitious entrepreneur, was about to close a deal with his long-time business partner, Ryan. They had been working tirelessly for months to finalise the agreement, and Alex was confident that it would secure a major contract for their company.

However, just as the documents were about to be signed, Alex suddenly revealed that he had been secretly working on a side project in competition with Ryan and their partnership. Ryan was devastated and felt betrayed by Alex's actions.

The agreement was scrapped, and Ryan was left feeling unable to pursue a legal remedy. As his lawyer explained, it was because Alex's own unethical actions, or ""tortious act"", had led to the breakdown of the partnership. According to the doctrine of ex turpi causa non oritur actio, a plaintiff cannot seek legal relief or damages if they have contributed to the situation themselves through their own unacceptable behavior.

Ryan realized that he had no legal recourse, and the stress and anxiety of the situation took a toll on him. Meanwhile, Alex's actions had not only damaged their partnership but also his own reputation, as the news of his deceit spread quickly throughout the business community.

This story illustrates how the doctrine of ex turpi causa non oritur actio can be used to prevent individuals from profiting from their own wrongdoings. In this case, Alex's unfair actions led to the downfall of the partnership, and he was unable to seek legal redress for the consequences that followed."
Exceptional circumstances	Exceptional circumstances are the conditions required to grant additional powers to a government agency or government leader so as to alleviate, or mitigate, unforeseen or unconventional hardship. The term is commonly used in Australia, where it has been applied in various contexts, most recognizably in relation to special consideration policies for students and drought relief payments for farmers known as Exceptional Circumstances Relief Payments or ECRP.	"As the rural town of Willow Creek struggled to recover from a severe protracted drought, local farmer John Taylor found himself in a desperate situation. His livestock were dying, his crops were failing, and he was struggling to make ends meet. The Australian government's normal financial support was not enough to sustain him, so he turned to the Exceptional Circumstances Relief Payment (ECRP) program, a special package designed to help farmers like him in extreme situations.

The government agency responsible for disbursing the funds, the Department of Agriculture, required John to demonstrate that he was experiencing ""exceptional circumstances"" that were beyond his control and had a significant impact on his livelihood. With the help of his accountant, John gathered evidence of the devastating drought, including records of crop failures, livestock losses, and reduced income.

The government agency reviewed John's application and deemed his circumstances to be indeed exceptional. As a result, they granted him additional financial assistance, exceeding the normal support package. The extra funds allowed John to maintain his farm, pay his debts, and even invest in future agricultural ventures.

Through this story, we see how exceptional circumstances can apply to individuals, in this case, a farmer, in times of unforeseen hardship. The government agency's response acknowledges the unusual severity of the drought and provides additional support to alleviate John's crisis. The concept of exceptional circumstances allows for flexibility in providing relief, recognizing that individual situations may be more severe or complex than normal protocols can accommodate."
Exclusionary rule	"In the United States, the exclusionary rule is a legal rule, based on constitutional law, that prevents evidence collected or analyzed in violation of the defendant's constitutional rights from being used in a court of law. This may be considered an example of a prophylactic rule formulated by the judiciary in order to protect a constitutional right. The exclusionary rule may also, in some circumstances at least, be considered to follow directly from the constitutional language, such as the Fifth Amendment's command that no person ""shall be compelled in any criminal case to be a witness against himself"" and that no person ""shall be deprived of life, liberty or property without due process of law"".
The exclusionary rule is grounded in the Fourth Amendment in the Bill of Rights, and it is intended to protect citizens from illegal searches and seizures. The exclusionary rule is also designed to provide a remedy and disincentive for criminal prosecution from prosecutors and police who illegally gather evidence in violation of the Fifth Amendment and its protection against self-incrimination. The exclusionary rule also protects against violations of the Sixth Amendment, which guarantees the right to counsel.
Most states also have their own exclusionary remedies for illegally obtained evidence under their state constitutions or statutes, some of which predate the federal constitutional guarantees against unlawful searches and seizures and compelled self-incrimination.
This rule is occasionally referred to as a legal technicality because it allows defendants a defense that does not address whether the crime was actually committed. In this respect, it is similar to the explicit rule in the Fifth Amendment protecting people from double jeopardy. In strict cases, when an illegal action is used by the police or the prosecution to gain any incriminating result, all evidence whose recovery stemmed from the illegal action—this evidence is known as ""fruit of the poisonous tree""—can be thrown out from a jury (or be grounds for a mistrial if too much information has been irrevocably revealed).
The exclusionary rule applies to all persons within the jurisdiction of the United States regardless of whether they are citizens, immigrants (legal or illegal), or visitors."	"Sarah, a law student, was driving home from a late-night shift at the library when her car was stopped by a police officer for a routine traffic violation. As the officer approached her window, he noticed that the car's taillight was slightly cracked. He asked Sarah to step out of the car and, without telling her why, patted her down and searched the car. The officer then found a small bag of marijuana on the passenger seat and arrested Sarah for possession.

At her trial, the prosecution presented the bag of marijuana as evidence. But Sarah's lawyer argued that the search was unconstitutional because the officer didn't have probable cause to stop her and search the car. Furthermore, the officer didn't read Sarah her Miranda rights before questioning her.

The judge agreed with Sarah's lawyer and suppressed the evidence, ruling that the search was illegal and therefore the bag of marijuana could not be used in court. Despite the fact that the police clearly found the marijuana, it couldn't be used as evidence because it was obtained in violation of Sarah's Fourth Amendment right against unreasonable searches and seizures.

Sarah's lawyer argued that even the knowledge of the marijuana's presence was ""fruit of the poisonous tree"" and couldn't be used as evidence. The judge ultimately dismissed the charges, citing the exclusionary rule and the importance of protecting citizens from illegal searches and seizures. Sarah was acquitted and walked out of the courtroom a free woman, thanks to the rule that excludes evidence obtained in violation of her constitutional rights."
Executive privilege	"Executive privilege is the right of the president of the United States and other members of the executive branch to maintain confidential communications under certain circumstances within the executive branch and to resist some subpoenas and other oversight by the legislative and judicial branches of government in pursuit of particular information or personnel relating to those confidential communications. The right comes into effect when revealing the information would impair governmental functions. Neither executive privilege nor the oversight power of Congress is explicitly mentioned in the United States Constitution.  However, the Supreme Court of the United States has ruled that executive privilege and congressional oversight each are a consequence of the doctrine of the separation of powers, derived from the supremacy of each branch in its area of constitutional activity.
The Supreme Court confirmed the legitimacy of this doctrine in United States v. Nixon in the context of a subpoena emanating from the judiciary instead of emanating from Congress. The Court held that there is a qualified privilege, which once invoked, creates a presumption of privilege, and the party seeking the documents must then make a ""sufficient showing"" that the ""presidential material"" is ""essential to the justice of the case"". Chief Justice Warren Burger further stated that executive privilege would most effectively apply when the oversight of the executive would impair that branch's national security concerns.  Regarding requests from Congress (instead of from the courts) for executive branch information, as of a 2014 study by the Congressional Research Service, only two federal court cases had addressed the merits of executive privilege in such a context, and neither of those cases reached the Supreme Court.
In addition to which branch of government is requesting the information, another characteristic of executive privilege is whether it involves a ""presidential communications privilege"" or instead a ""deliberative process privilege"" or some other type of privilege. The deliberative process privilege is often considered to be rooted in common law. In contrast, the presidential communications privilege is often considered rooted in the separation of powers, thus making the deliberative process privilege less difficult to overcome. Generally speaking, presidents, congresses and courts have historically tended to sidestep open confrontations through compromise and mutual deference because of previous practice and precedents regarding the exercise of executive privilege.

"	"It was a typical Monday morning at the White House when President Rachel Jenkins received an unexpected phone call from her Secretary of Defense, James Miller. Miller informed the President that a Congressional Committee was demanding the administration's internal notes and emails regarding a recent arms deal with a foreign country.

Rachel was taken aback. She understood that Congressional oversight was necessary, but she was concerned that releasing those documents would impact national security. The deal was still in its infancy, and revealing the details could jeopardize future negotiations and compromise the country's interests.

After consulting with her advisors, Rachel invoked executive privilege, citing that the documents were confidential communications under the deliberative process privilege. She maintained that revealing the information would impair the executive branch's ability to conduct foreign policy negotiations and could potentially harm national security.

The Congressional Committee, led by Chairwoman Emily Patel, responded by arguing that the privilege was an abuse of power and that the Committee had a legitimate need for the information to ensure transparency and accountability.

As the standoff continued, Rachel made a public statement, emphasizing the importance of protecting confidential communications to ensure the effective functioning of the executive branch. Chairwoman Patel countered, stating that the Committee's investigation was essential to maintaining the public's trust in government.

The dispute eventually led to a series of closed-door meetings and private negotiations between the President and the Chairwoman. After several weeks, they reached a compromise: the administration would provide limited information, while the Committee would agree to hold off on further inquiry until the deal was finalized.

Rachel's decision to invoke executive privilege had prevented the premature revelation of confidential information, preserving the nation's security interests while still accommodating the Committee's legitimate oversight needs. It was a delicate balancing act, but one that highlighted the importance of maintaining confidentiality in sensitive government communications."
Exhausted combination doctrine	"The exhausted combination doctrine, also referred to as the doctrine of the Lincoln Engineering case, was the doctrine of U.S. patent law that when an inventor invents a new, unobvious device and seeks to patent not merely the new device but also the combination of the new device with a known, conventional device with which the new device cooperates in the conventional and predictable way in which devices of those types have previously cooperated, the combination is unpatentable as an ""exhausted combination"" or ""old combination"".  The doctrine is also termed the doctrine of the Lincoln Engineering case because the United States Supreme Court explained the doctrine in its decision in Lincoln Engineering Co. v. Stewart-Warner Corp. This doctrine has been considered abrogated by the US Congress in 1952, when it passed the 1952 Patent Act."	"Meet Emma, a talented inventor who runs her own kitchen gadget company. She's developed a revolutionary new blender that can puree hot ingredients like soup and sauces more efficiently than any other blender on the market. Emma is eager to patent her invention and proudly presents it to the patent office.

To her surprise, the patent office denies her application, citing the exhausted combination doctrine. Emma is puzzled - didn't she just invent something entirely new and innovative? The patent examiner explains that while Emma's blender is an improvement over existing blenders, it's not the only new component at play. The examiner points out that Emma's blender is designed to work seamlessly with conventional kitchen countertops and sinks.

The examiner notes that blenders have been integrated into kitchen countertops and sinks for decades, and it's obvious to anyone in the industry that these components would naturally work together in this way. The combination of Emma's new blender with common kitchen fixtures is therefore an ""exhausted combination"" or ""old combination"" - not worthy of a patent.

Emma realizes that the patent office is correct. She didn't invent a fundamental change in the way kitchen blenders interact with countertops and sinks. She simply improved upon an existing technology. Understanding the exhausted combination doctrine, Emma decides to focus on patenting her unique blender design, rather than the expected way it would work with common kitchen fixtures. With this revised approach, Emma is able to secure a patent and continue innovating in the kitchen gadget industry."
