doctrine	definition	story
Doctrine of colourability	"The doctrine of colourability is the idea that when a legislature wants to do something that it cannot do within the constraints of its government's constitution, it colours the law with a substitute purpose, allowing it to accomplish its original goal.

"	"Title: The Colorful pretzel stand: A lesson in the Doctrine of Colourability

In the heart of the bustling town of Bakerville, a beloved street vendor named Sam sold homemade pretzels. Sam was well-known for his crispy, golden pretzels, but he was also known for his political activism. One day, a new city ordinance threatened to shut down street vendors like Sam, claiming it was for public safety reasons.

The people of Bakerville were outraged! They loved Sam's pretzels and didn't want him to close. Unbeknownst to them, the Mayor of Bakerville was not a fan of Sam's political views. He saw this as an opportunity to silence Sam without directly targeting his political activities.

So, the Mayor proposed a new ordinance under the guise of ""City Aesthetics Improvement."" The ordinance required all street vendors to have their stands within six feet of a building. A big problem for Sam, as his stand was unfortunately just a foot away from the curb.

Sam, with the help of a local attorney, challenged the new ordinance. They claimed it was an abuse of power, a thin disguise (or ""colour"") for the real purpose - to shut down Sam's pretzel stand due to his political activism.

The court agreed. The Judge declared, ""This ordinance is a clear example of the 'Doctrine of Colourability'. It's been dressed up with the purpose of improving city aesthetics, but in reality, it is intended to suppress free speech.""

In the end, Sam could continue his much-loved pretzel business, and the people of Bakerville could enjoy their golden pretzels without worrying about their favorite vendor getting shut down for invented reasons. They learned a valuable lesson about the far-reaching effects of the Doctrine of Colourability and how important it is to question laws that seem too good to be true."
Doctrine of equivalents	"The doctrine of equivalents is a legal rule in many (but not all) of the world's patent systems that allows a court to hold a party liable for patent infringement if the infringing device or process does not fall within the literal scope of a patent claim but is nevertheless equivalent to the claimed invention. In the United States, Judge Learned Hand has described its purpose as being ""to temper unsparing logic and prevent an infringer from stealing the benefit of the invention."""	"Title: ""The Picasso Pixels - A Tale of Artistic Invention and Equivalence""

In the heart of New York City, tucked away in a quaint little gallery, lived artist Samantha. Samantha was known for her unique, pixelated style of painting. One day, she invented a revolutionary technique which she called ""Mosaic Painting"". Flattening a canvas, she embedded tiny, brightly colored tiles to create her masterpiece, ""Starry Night in Times Square"".

Her art was a sensation, and soon, copycats began to appear. A rival artist named Felix started using small squares of colored cardboard instead of tiles to recreate her style. Although Felix's 'cardboard paintings' didn't match Samantha's method exactly, they were undeniably equivalent in style and appearance.

Samantha, determined to protect her work, consulted a lawyer, who explained the Doctrine of Equivalents. ""These cardboard paintings may not be an exact replica,"" he said, ""but if they are equivalent to your mosaic technique, they infringe your patent—essentially, they 'steal the benefit' of your innovation.""

Felix dismissed the accusations, arguing that he had not used tiles like Samantha did, so he didn't infringe. However, when the case went to court, the judge ruled in Samantha's favor, stating that the purpose of the Doctrine of Equivalents is to ensure that innovative ideas are protected from being copied in any form—even if that form isn't literally mentioned in the patent.

Samantha's victory showed the value of the Doctrine of Equivalents in protecting the rights of inventors and artists. It demonstrated how this principle protects not just the ""literal"" way an idea is expressed but also its equivalent forms, ensuring that the benefits of artistic and technological innovation remain with the innovators themselves."
Doctrine of exoneration of liens	"The doctrine of exoneration of liens (sometimes simply referred to as ""doctrine of exoneration"") refers to a common law rule. The rule says that encumbrances (i.e. a mortgage) of a property conveyed by a will is discharged with funds from the originating estate, not from the property itself."	"Title: The Inheritance of the Old Mansion: A Tale of Exoneration of Liens

In the quaint town of Maplewood, the grand old mansion of the late Mr. Abe Thompson was a topic of intrigue. The house, now passed on to his three grandchildren - Emily, Jack, and Lily - was a treasure trove of memories, but the burden of a large mortgage loomed heavy over it.

Emily, the responsible one, decided to sell the property to pay off the mortgage. Jack and Lily were against it, as they dreamed of restoring the mansion as a living tribute to their grandfather. Emily, however, was worried about the looming debt and the potential for personal liability.

Sensing their predicament, the town's wise and experienced attorney, Mr. Brown, took up their case. He explained that theoretically, the mortgage would follow the property, leaving Emily liable for the debt should the sale fail. But there was a solution - the Doctrine of Exoneration of Liens.

Mr. Brown, in his years of service, had seen this law work wonders for many families facing a similar situation. He told the grandchildren that back in Mr. Thompson's day, he had taken out a mortgage against the house. When he passed away, the mortgage was ""exonerated"" or discharged from the property itself. It was then paid off using funds from his estate - that is, funds from the property he had sold before buying the mansion.

Following this, Mr. Brown helped the grandchildren petition the court to have the mortgage exonerated. To the grandchildren's relief, the court granted their petition. The burdensome mortgage was discharged, paving the way for Jack and Lily's dream of restoring the mansion. Emily, convinced of Mr. Brown's wisdom, decided to work with them to fulfill their grandfather's legacy.

Thus, the Doctrine of Exoneration of Liens came to the rescue, proving to be a beacon of hope for the Thompson family, early one sunny day in Maplewood."
Doctrine of foreign equivalents	"This article discusses the trademark doctrine regarding translation of foreign words. For the patent doctrine regarding equivalent means to practice an invention, see Doctrine of equivalents.

The doctrine of foreign equivalents is a rule applied in United States trademark law which requires courts and the TTAB to translate foreign words in determining whether they are registrable as trademarks, or confusingly similar with existing marks. The doctrine is intended to protect consumers within the United States from confusion or deception caused by the use of terms in different languages. In some cases, a party will use a word as a mark which is either generic or merely descriptive of the goods in a foreign language, or which shares the same meaning as an existing mark to speakers of that foreign language.

"	"Title: ""The Case of the Confused Croissants""

In the bustling heart of Brooklyn, New York, a charming French bakery named ""Le Boulangerie"" had been a neighborhood staple for decades, offering delicious pastries and aromatic coffee. One day, a new bakery, ""Pane d'Alba,"" opened across the street, stirring both excitement and concern among locals.

""Pane d'Alba"" was an Italian phrase meaning ""white bread,"" a term commonly used in Italian but relatively unknown in the French-speaking world. However, to the untrained ear, the name sounded quite similar to ""Le Boulangerie.""

The owners of ""Le Boulangerie"" noticed a drop in their customer base, and they believed it was due to the new bakery's name. They feared their loyal clients might be confused, thinking ""Pane d'Alba"" was just another branch of their own bakery.

The situation eventually reached the Trademark Trial and Appeal Board (TTAB). The lawyers argued that the Italian phrase ""Pane d'Alba"" was an equivalent term to ""Le Boulangerie"" in the context of bakeries, but the key difference was the language. The TTAB, applying the doctrine of foreign equivalents, took into account the meaning of ""Pane d'Alba"" to consumers in the US, and ruled in favor of ""Le Boulangerie.""

The new bakery had to change its name to avoid infringing on the established trademark. This decision protected ""Le Boulangerie"" and ensured that their loyal customers wouldn't be misled by a similar name in a different language. The doctrine of foreign equivalents proved to be a crucial tool in maintaining clarity and order in the competitive world of branding, especially when languages and cultures intertwine.

This little conflict in Brooklyn serves as a reminder that, whether it's ""Le Boulangerie"" or ""Pane d'Alba,"" in the eyes of the law, equivalent terms can have serious implications for businesses and their customers."
Doctrine of indivisibility	"The doctrine of indivisibility (or indivisibility doctrine) was a legal doctrine in United States copyright law, which held that a copyright was a single, indivisible right that its owner could only assign as a whole.  The doctrine was founded upon the policy concern that a defendant alleged to have infringed a single work might find himself facing claims from multiple plaintiffs, all claiming copyright in that same work.  Despite the indivisibility doctrine, a copyright holder could still effectively assign certain rights.  The assignees of those rights were held to be ""mere licensees.""
This doctrine could yield a harsh result for an exclusive licensee in a work.  If a third party infringed the work, the copyright holder had no motivation to file suit---the work was no longer marketable.  So courts allowed exclusive licensees to compulsively join the copyright holder as a plaintiff in such suits.  Non-exclusive licensees could not forcefully join copyright holders, on the theory that in those cases, the work was still marketable and the copyright holder therefore had an interest in protecting his rights.
The doctrine could also yield a harsh result where a magazine purchased the right of first publication from an author, but provided a copyright notice only for the magazine as a whole, not for the author. This would result in a forfeiture of any copyright protection and an injection of the work into the public domain. As detailed below, this harsh result was mostly abrogated by Goodis v. United Artists Television, Inc.
In the case Goodis v. United Artists Television, Inc., 425 F.2d 397, the United States Court of Appeals for the Second Circuit held that the doctrine of indivisibility could not operate to wholly deprive an author of his copyright when a ""mere licensee"" secured a copyright in a collective work but the author never secured a separate copyright on his own.
The doctrine of indivisibility was expressly eliminated in the Copyright Act of 1976. Assignees of rights in a copyrighted work now have standing to directly file suit against infringers. Because adequacy of a copyright notice is examined under the statue as it existed on the date that the work was first published, the doctrine of indivisibility remains potentially relevant for works published before January 1, 1978."	"Title: ""The Indivisible Symphony""

In the heart of New York City, young composer John Doe has just finished his magnum opus, a symphony he named ""The Whispers of the Cosmos."" Passionate and ambitious, John seeks to publish his work and earn a living from his art.

One day, John encounters two publishers, Alice and Bob. Excited by John's symphony, Alice offers to purchase the rights for the first publication, while Bob offers an exclusive license to perform and distribute the symphony worldwide. John, eager to share his music with the world, signs both agreements, not fully understanding the implications.

Alice prepares the first edition of John's symphony, correctly placing a copyright notice with her name as the copyright holder. Bob, on the other hand, fails to add John's name to the copyright notice on the albums and sheet music he produces.

Years pass, and ""The Whispers of the Cosmos"" gains popularity, generating substantial profits for both Alice and Bob. However, when John discovers that he's not being fairly compensated, he decides to take legal action against the infringement of his copyright.

Unfortunately, due to the doctrine of indivisibility, neither John nor Bob holds the entire copyright, and John is unable to join Alice in a lawsuit, as he isn't an exclusive licensee. Meanwhile, Bob, though an exclusive licensee, cannot forcefully join John, as the symphony remains marketable.

In despair, John seeks help from a lawyer, who suggests he file a case against Alice, arguing that she never properly secured the copyright. With this strategy, John manages to prove that Alice's failure to include his name in the copyright notice forfeited her claim to the copyright.

The case, Goodis v. United Artists Television, Inc., sets an important legal precedent, ending the harsh results of the indivisibility doctrine for authors like John. Finally, John's indivisible symphony receives the recognition and compensation it deserves."
Doctrine of inherency	"In United States patent law, the doctrine of inherency holds that, under certain circumstances, prior art may be relied upon not only for what it expressly teaches, but also for what is inherent therein, i.e., what necessarily flows from the express teachings. For a patent claim to be valid, its subject-matter must be novel and non-obvious. The claim is anticipated (i.e. will fail because its subject-matter is not novel) if a single prior art reference, either expressly or inherently, discloses every feature of the claimed invention. The concept of inherency is predicated on the idea that a claim should not pass the test of anticipation merely because a feature of it is undisclosed or unrecognized in the prior art reference. A prior art source may thus still anticipate if an apparently missing element of the claim is inherent in that prior art source.
Procedurally, to rely on the doctrine of inherency, one must provide a basis in fact and/or technical reasoning supporting a determination that an allegedly inherent characteristic necessarily would be present if the teachings of the prior art were followed, even if the inherent feature would not have been recognized.
The fact that a certain result or characteristic may occur or be present in the prior art is not alone sufficient to establish the inherency of that result or characteristic. To establish inherency, the evidence must make clear that the missing matter is necessarily present in the prior art reference.  Inherency may not be established by probabilities or possibilities.
Once the United States Patent and Trademark Office (USPTO) establishes that a product referenced in prior art appears to be substantially identical, the burden shifts to the applicant to show a non-obvious difference.
The doctrine of inherency is typically invoked when an inventor tries to obtain a product patent for a product that had been unintentionally invented earlier (""accidental anticipation"").
The United States Supreme Court held in Tilghman v. Proctor that where the first, accidental producer was not aware of the product and did not attempt to produce it, the first production did not bar a patent on the subsequent ""invention"" of the product. 102 U.S. 707 (1880).
The use of the doctrine of inherency in a determination of obviousness is more complicated because ""[t]hat which may be inherent is not necessarily known and that which is unknown cannot be obvious.""
A patent applicant may use the doctrine of inherency to respond to a rejection for lack of an adequate written description by showing that the patent application inherently includes the disclosure that is allegedly lacking."	"Title: ""The Astonishing Imbibitions of Emma's Coffee""

Emma, a passionate coffee lover, had been manufacturing her unique blend of espresso for years. She loved the rich aroma and full-bodied taste, and her friends raved about it every time they visited. One day, a renowned coffee connoisseur, unaware of Emma's homemade concoction, stirred up the very same blend at his prestigious coffee shop. Customers professed their love for this new blend, and competitors began to take notice.

Emma decided to patent her recipe, hoping to protect her creation from copycats. However, the U.S. Patent and Trademark Office (USPTO) rejected her application, citing a previous connoisseur who had inadvertently created the same blend years ago. Emma was disheartened, believing her work would go unrecognized.

Undeterred, Emma decided to use the Doctrine of Inherency to argue her case. With the help of a patent attorney, she said that her blend wasn't just about the ratio of coffee beans, but the unique roasting process her kitchen appliances automatically employed due to their design — a step the connoisseur hadn't intentionally taken. She provided a technical explanation, demonstrating how the roasting process was an inevitable result of her unique appliances, even if it had gone unrecognized.

The USPTO evaluated their argument. They tested Emma's appliances and confirmed her theory, conceding that the crucial roasting process had indeed been inherent in her design all along. The novel aspect of Emma's patent claim — the unique roasting process — was now evidently present in the prior art source (the connoisseur's blend), but only as an inherent characteristic, not intentionally created or recognized.

Thanks to the Doctrine of Inherency, Emma's patent was now valid, protecting not only the specific blend but the unique roasting process that made it so unique, setting her aromatic espresso apart from the crowd."
Doctrine of international exhaustion	"The exhaustion of intellectual property rights constitutes one of the limits of intellectual property (IP) rights. Once a given product has been sold under the authorization of the IP owner, the reselling, rental, lending and other third party commercial uses of IP-protected goods in domestic and international markets are governed by the principle.
After a product covered by an IP right, such as by a patent right, has been sold by the IP right owner or by others with the consent of the owner, the IP right is said to be exhausted. It can no longer be exercised by the owner. This limitation is also referred to as the exhaustion doctrine or first sale doctrine. For example, if an inventor obtains a patent on a new kind of umbrella, the inventor (or anyone else to whom he sells his patent) can legally prohibit other companies from making and selling this kind of umbrella, but cannot prohibit customers who have bought this umbrella from the patent owner from reselling the umbrella to third parties. Or if a piece of software containing a patented algorithm is distributed by the patent owner, then the patent is exhausted.
While there is a ""fairly broad consensus"" throughout the world that patent exhaustion ""applies at least within the context of the domestic market"", ""[t]here is less consensus as to what extent the sale of an IP protected product abroad can exhaust the IP rights over this product in the context of domestic law."" The former is the concept of ""national exhaustion"", the latter of ""regional exhaustion"" or ""international exhaustion"". The rules and legal implications of the exhaustion largely differ depending on the country of importation, i.e. the national jurisdiction.
The legal concept of international exhaustion is much more controversial, and is recognized in some countries but not in others. The importation, in a country that recognizes the concept of international exhaustion, of a product sold in a foreign country with the authorization of the IP right owner cannot be prevented by the IP right owner. The Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS), an international agreement administered by the World Trade Organization (WTO), does not address the issue of exhaustion of intellectual property rights.
Brexit in 2020 caused restrictions on trade out of the UK, creating an asymmetric exhaustion status enabling imports to the UK from the EEA where there is no matching opportunity for parallel exports from the UK to the EEA. This was thought in February 2022 to be likely to continue for some time, or even indefinitely."	"Title: The Umbrella Maker's Paradox

In the quaint town of Rainywood, famous for its persistent drizzle, a brilliant inventor named Oliver had recently patented a revolutionary collapsible umbrella that could expand and close with a simple click. With the patent in hand, he formed a company, UmbrellaTech, to manufacture and sell his invention to the world.

One sunny day, Oliver's friend Grace, a popular fashion retailer from the vibrant city of Paris took notice of Oliver's umbrella and excitedly bought a few for her shop. In Paris, the umbrella was warmly welcomed, especially among the city's style-conscious residents.

However, unbeknownst to Grace, Oliver's distribution agreement was limited to France. As a responsible owner of the patented umbrella, he was keen to prevent counterfeit imitations that could potentially harm his brand and compromise the quality of his product.

Just as the Rainywood's annual Rain Dance festival was approaching, Oliver noticed that some of the Parisian umbrellas were being resold in Rainywood by Grace's customers who traveled back from their vacation. To his dismay, he realized that his patent on the collapsible umbrella didn't allow him to control the resale of these umbrellas in Rainywood because once they were sold in France, his intellectual property rights under the Doctrine of International Exhaustion were considered exhausted. Refusing to let the situation go unchallenged, Oliver decided to take legal action against the buyers of those umbrellas in Rainywood, citing his exclusive distribution rights.

This dilemma sparked an on-going debate in Rainywood among legal experts about the boundaries between the intellectual property rights and the freedom of commerce. Regardless of its outcome, one thing was certain - Oliver, Grace, and the residents of Rainywood were about to discover some intriguing answers concerning international laws and their impact on the world of intellectual property rights."
Doctrine of laches	"In common-law legal systems, laches ( LAT-chiz, ;  Law French: remissness, dilatoriness, from Old French: laschesse) is a lack of diligence and activity in making a legal claim, or moving forward with legal enforcement of a right, particularly in regard to  equity. It is an unreasonable delay that can be viewed as prejudicing the opposing party. When asserted in litigation, it is an equity defense, that is, a defense to a claim for an equitable remedy.  It is often understood in comparison to a statute of limitations, a statutory defense, which traditionally is a defense to a claim ""at law"".
The person invoking laches is asserting that an opposing party has ""slept on its rights"", and that, as a result of this delay, circumstances have changed (witnesses or evidence may have been lost or no longer available, etc.), such that it is no longer a just resolution to grant the plaintiff's claim. Laches is associated with the maxim of equity: ""Equity aids the vigilant"" – not those who sleep on their rights. Put another way, failure to assert one's rights in a timely manner can result in a claim being barred by laches."	"Title: The Unfinished Fence and the Forgotten Promise

In the peaceful town of Harmonyville, neighbors Sarah and Jane lived next to each other in quaint, detached homes. Both were retired and spent their days tending to their gardens and enjoying the company of their grandchildren.

One sunny afternoon, Sarah and her son helped build a beautiful picket fence between their property line and Jane's, adding a touch of charm to the block. As they worked, Sarah casually mentioned to Jane, ""Once this fence is up, I hope it'll resolve our problem with your dog wandering onto my lawn."" Jane smiled and agreed, ""I really must get Fifi spayed soon. I'll make sure she stays on her side of the fence.""

Months went by, and Fifi continued to trot over to Sarah's garden every now and then, leaving behind a mess of digged-up flowers. Sarah tried talking to Jane, but she was always too ""busy"" or ""forgot"" to come over and reprimand Fifi. One day, fed up with the situation, Sarah decided to take action and filed a lawsuit against Jane to pay for the damages Fifi caused.

In court, Jane claimed that she had been unaware of the persistent problem and that Sarah was unreasonably delaying in bringing the matter to her attention. The judge sided with Jane, citing the Doctrine of Laches. They emphasized that Sarah had a responsibility to communicate the issue to Jane in a timely manner, and by waiting so long to bring the lawsuit, Sarah had put Jane in a position of prejudice. The judge felt it was no longer fair to hold Jane accountable for damages that occurred many months ago.

The concept of the Doctrine of Laches was introduced: if a person sleeps on their rights or delays in taking action, they may lose the ability to seek justice for past damages when it is no longer fair to the opposing party. This lesson served as a reminder for neighbors Sarah and Jane and the whole community of Harmonyville to communicate issues more promptly."
Doctrine of necessity	"The doctrine of necessity is the basis on which extraordinary actions by administrative authority, which are designed to restore order or uphold fundamental constitutional principles, are considered to be lawful even if such an action contravenes established constitution, laws, norms, or conventions. The maxim on which the doctrine is based originated in the writings of the medieval jurist Henry de Bracton, and similar justifications for this kind of extra-legal action have been advanced by more recent legal authorities, including William Blackstone.
In a controversial 1954 judgment, Pakistani Chief Justice Muhammad Munir validated the extra-constitutional use of emergency powers by Governor General, Ghulam Mohammad. In his judgment, the Chief Justice cited Bracton's maxim, 'that which is otherwise not lawful is made lawful by necessity', thereby providing the label that would come to be attached to the judgment and the doctrine that it was establishing.
The doctrine of necessity may also refer to the necessity of a judge with a reasonable apprehension of bias continuing to decide a matter if there is no alternative to that judge. The Supreme Court of Canada applied this doctrine in the 1998 Reference re Remuneration of Judges (No 2) case.

"	"Title: The Doctor's Dilemma: A Tale of Necessity

In a bustling city, Dr. Amelia was a dedicated and compassionate physician, working tirelessly to care for her patients at the local community hospital. One frosty winter night, an unprecedented blizzard struck, leaving thousands in the city without power and many stranded in their homes. The hospitals' backup generators failed, plunging the hospital into darkness. As the snow poured in through broken windows, Dr. Amelia was faced with a dire decision.

With no electricity or heat, Dr. Amelia knew her patients would succumb to the cold if left untreated. The hospital staff was dwindling as more staff members chose to head home. No one could blame them, but Dr. Amelia, along with a handful of nurses and janitors, gathered their resolve. They knew the hospital was in a state of emergency and they needed to act quickly.

In the dim candlelight, Dr. Amelia used her medical knowledge to improvise. She and her team set up makeshift treatment centers, using heated pillows for warmth and homemade ventilators for the critically ill. They worked tirelessly through the night, preserving life as best they could.

As the days passed, the harsh winter continued to batter the city. The hospital's condition worsened, and fewer staff members reported for work. The city's health department and emergency response efforts were gridlocked by the storm, leaving the already exhausted hospital staff with no help in sight.

In this dire situation, Dr. Amelia and her team were faced with a dilemma. They could follow the rules and law, but risk losing countless lives, or take extraordinary measures to save their patients, despite the potential legal repercussions.

Resorting to the Doctrine of Necessity, Dr. Amelia authorized her team to continue their make-shift efforts, using their best judgment and courage to brave the storm and save lives. While the legal consequences for their actions were uncertain, they knew they had ultimately acted in the best interest of their patients and the greater good.

As the storm subsided, order was slowly restored, and the hospital's generators were fixed. When questioned about their actions, Dr. Amelia and her team presented their story of necessity, emphasizing that they took action to ensure the safety and well-being of their patients and the community, even when the law seemed to stand in their way.

Though the hospital staff faced some consequences for their actions, they were ultimately celebrated as heroes in a city grateful for their acts of bravery and dedication to the Doctrine of Necessity. Their story serves as a reminder of the lengths one can go to uphold fundamental principles and ensure the greater good, even when the law may stand in the way."
Doctrine of non-derogation from grants	"The doctrine of non-derogation from grants is a principle of the law of England and Wales. As the House of Lords explained in British Leyland Motor Corp v Armstrong Patents Co, it states that a seller of realty or goods is not permitted to take any action (such as bringing an infringement action) that will lessen the value to the buyer of the thing sold.
United States federal law recognises similar doctrines such as the exhaustion doctrine or doctrine of implied license. A similar effect has also been realised in United States patent law under the doctrine of repair and reconstruction.
An important difference between the doctrine of non-derogation from grants and other doctrines, particularly implied license, that are used to accomplish similar results is that the doctrine of non-derogation from grants is ""inherent"" as a matter of property law and apparently cannot be avoided by a seller's use of language attempting to negative application of the doctrine or by trial counsel's pointing to evidence of intent not to relinquish patent rights or copyright. In contrast, the other doctrines may be vulnerable to contractual disclaimers or evidence of intent not to grant intellectual property rights. The issue is discussed to some extent in the courts' opinions in British Leyland and Quanta Computer, Inc. v. LG Electronics, Inc."	"Title: The Musical Keyboard Muddle: A Tale of Non-Derogation from Grants

In the heart of bustling Boston, in a quaint little music shop named ""Melodious Memories,"" lived a passionate piano tuner named Tom. One day, Tom, a smart businessman, noticed a beautifully crafted grand piano with the tag ""_Original vintage Beethoven model, keytask warranty included_."" Excited, Tom thought he could restore the piano to its former glory.

However, upon purchase, he discovered a curious clause in the sales agreement. It read: ""_We, Melodious Memories, retain the rights to initiate legal action against any unauthorized use of Beethoven's compositions played on this piano and the reproduction of such recordings._"" Tom, who was an avid composer, planned to record some original pieces on the piano, unaware of the potential legal trouble.

When Tom began to promote his music online, Melodious Memories sued him for playing their pianos with his original compositions. Tom, despite the obscure clause, believed he was entitled to use the piano as he wished, given he bought it.

The court case, ""Tom vs. Melodious Memories,"" shook the music community. Tom's lawyer, referencing the British Leyland case, asserted Tom's right to use the piano, citing the Doctrine of Non-Derogation from Grants, which ensures Tom could not be denied the usual purpose of an object when it's sold.

Melodious Memories argued exemptions in contracts but the court sided with Tom. The Doctrine of Non-Derogation from Grants, being inherent in property law, was immune to contractual disclaimers. In simple terms, Tom could play his original compositions on the piano just as he intended when he made the purchase, and Melodious Memories could not diminish the value of the piano by claiming rights for the original Beethoven compositions.

From then on, Tom and his music continued to flourish, and the case served as a reminder for sellers: you can't sell someone something and take away its primary purpose. The Doctrine of Non-Derogation from Grants ensured products remain just as promised."
Doctrine of privity	"The doctrine of privity of contract is a common law principle which provides that a contract cannot confer rights or impose obligations upon anyone who is not a party to that contract. It is related to, but distinct from, the doctrine of consideration, according to which a promise is legally enforceable only if valid consideration has been provided for it, and a plaintiff is legally entitled to enforce such a promise only if they are a promisee from whom the consideration has moved.
A principal consequence of the doctrine of privity is that, at common law, a third party generally has no right to enforce a contract to which they are not a party, even where that contract was entered into by the contracting parties specifically for their benefit and with a common intention among all of them that they should be able to enforce it.  In England & Wales and Northern Ireland, the doctrine has been substantially weakened by the Contracts (Rights of Third Parties) Act 1999, which created a statutory exception to privity, providing, in certain circumstances, third parties the right to enforce terms of contracts to which they are not privy."	"Title: ""The Art Gallery Purchase""

In the heart of London, a renowned art dealer, Richard, purchased a rare Picasso painting from a private collector for a hefty sum. The sale agreement stipulated that the painting would need to be insured by a specific insurance company,ин Burnham Insurance, to ensure its value was protected in case of damage or theft. The collector, an old gentleman named Edward, trusted Richard and agreed to the terms, expecting peace of mind knowing his priceless masterpiece was covered.

However, when the painting was involved in a warehousing accident before delivery, Richard needed to make an insurance claim. Much to his surprise, the insurance company, Burnham Insurance, refused to cover the loss. Richard was baffled, as he was the one who arranged the insurance and was likely to suffer a substantial financial loss due to the accident.

Richard, along with Edward, was puzzled by the insurance company's refusal to help. A lawyer stepped in, explaining that Burnham Insurance was not obligated to cover the loss because neither Richard nor Edward were in a direct contractual relationship with them. The insurance company only had a contract with the art dealer who bought the insurance policy, not with Richard or Edward.

This example illustrates the doctrine of privity of contract. Since neither the art collector nor the art dealer from whom the painting was purchased were party to the insurance contract with Burnham Insurance, the company had no legal obligation to cover the loss. Although the painting was bought with the intention that it would be insured, the legal system could not enforce an agreement that included a third party not privy to the contract.

Years later, the Contracts (Rights of Third Parties) Act 1999 was passed in England & Wales, where specific circumstances would allow third parties like Edward or Richard to enforce the terms of a contract, even when they were not parties to it. Today, this act serves to protect the rights of third parties like Edward and Richard, ensuring fairness and protecting them from accidental losses."
Doctrine of repair and reconstruction	"The doctrine of repair and reconstruction in United States patent law distinguishes between permissible repair of a patented article, which the right of an owner of property to preserve its utility and operability guarantees, and impermissible reconstruction of a patented article, which is patent infringement. The doctrine is explained in Aro Mfg. Co. v. Convertible Top Replacement Co. The Aro case states the rule in these terms:

The decisions of this Court require the conclusion that reconstruction of a patented entity, comprised of unpatented elements, is limited to such a true reconstruction of the entity as to ""in fact make a new article,"" after the entity, viewed as a whole, has become spent. In order to call the monopoly, conferred by the patent grant, into play for a second time, it must, indeed, be a second creation of the patented entity. …Mere replacement of individual unpatented parts, one at a time, whether of the same part repeatedly or different parts successively, is no more than the lawful right of the owner to repair his property.

An extension  of the doctrine is a right to modify the product to enhance its functionality, such as to make it operate faster or with a different size of product. The Supreme Court said in Wilbur-Ellis Co. v. Kuther that such a right was ""kin  to repair for it bore on the useful capacity of the old combination, on which the royalty had been paid.""
The House of Lords declared a similar principle—the doctrine of non-derogation from grants—concerning car owners' repair and replacement of automobile parts, in British Leyland Motor Corp. v. Armstrong Patents Co."	"Title: The Case of the Fading Radio and the Jazz Lover

In the heart of a bustling city, lived a passionate jazz enthusiast named Sam, who owned an old, cherished record player. The record player, while vintage and unique, had one minor inconvenience – its radio was beginning to fade, making it hard for him to enjoy his favorite tunes.

One day, Sam found an advertisement for a small, innovative company, RadioRevive, offering an upgrade kit that could enhance the radio's functionality. Excited, he purchased the kit and carefully followed the instructions to install it in his record player. The results were miraculous! Sam's record player now played his jazz records with crystal-clear sound, making each note more melodious than ever.

However, one day, the U.S. Patent and Trademark Office (PTO) showed up at Sam's door. They informed him that RadioRevive held the patent for the components in the upgrade kit, and by installing it, Sam had infringed on their rights. Sam was taken aback. His beloved record player was his precious possession, and he believed he had the right to maintain and improve it.

Sam then took his case to court, citing the Doctrine of Repair and Reconstruction. He argued that he didn't just replace the old radio components with new ones; he had ""reconstructed"" his record player, transforming it into a better version of itself. The judge agreed, stating that Sam had made a ""new article"" by enhancing the useful capacity of his old record player, not merely repairing it. The PTO was forced to withdraw their claims, and Sam could once again enjoy his jazz records in perfect clarity.

In the end, Sam learned the power of the Doctrine of Repair and Reconstruction, allowing him to preserve and even improve his cherished possessions, all while respecting the rights of patent holders."
